"","ID","Status","Name","Locus.Tag","NCBI.Acc..","Paralog..","Expr.Sig","SeqType"
"79","CONTIG12772",2,"Aedes aegypti AAEL002879-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656050",0,"101","CONTIG"
"80","F5BTJ3O02HYFT9",3,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001870054",2,"X01","SINGLETON"
"81","CONTIG13612",2,"PREDICTED: Papilio polytes synaptotagmin 1 (LOC106102039), transcript variant X4, mRNA","LOC106102039","XM_013281435",0,"X01","CONTIG"
"82","CONTIG13613",2,"Culex quinquefasciatus synaptotagmin, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001846339",0,"101","CONTIG"
"83","CONTIG01140",2,"Aedes aegypti AAEL009810-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001660369",0,"0X1","CONTIG"
"84","CONTIG17699",3,"Aedes aegypti AAEL011841-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001661922",1,"101","CONTIG"
"85","CONTIG16041",2,"Aedes aegypti AAEL000265-RA (AKTIP_AEDAE), partial mRNA","AKTIP_AEDAE","XM_001654730",0,"010","CONTIG"
"86","F5BTJ3O01D0EI5",3,"PREDICTED: Stomoxys calcitrans uncharacterized LOC106094405 (LOC106094405), mRNA","LOC106094405","XM_013261618",1,"X10","SINGLETON"
"87","CONTIG12329",2,"Culex quinquefasciatus muscle lim protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001850229",0,"X01","CONTIG"
"88","CONTIG24138",3,"Aedes aegypti AAEL006126-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657456",2,"X01","CONTIG"
"89","CONTIG24137",2,"Culex quinquefasciatus vitellogenin-A1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001843083",0,"X01","CONTIG"
"90","CONTIG15415",2,"Aedes aegypti AAEL006138-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657459",0,"X01","CONTIG"
"91","CONTIG10007",2,"Culex quinquefasciatus cell cycle checkpoint protein rad17, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001845335",0,"010","CONTIG"
"92","CONTIG00024",2,"Anopheles gambiae str. PEST AGAP006828-PA (CPR60) mRNA, complete cds","CPR60","XM_308915",0,"X01","CONTIG"
"93","F5BTJ3O02GUVPV",2,"Aedes aegypti AAEL008730-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001653375",0,"X10","SINGLETON"
"94","CONTIG20927",3,"Culex quinquefasciatus anillin/rhotekin, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001847771",1,"010","CONTIG"
"95","F5BTJ3O02GVAFM",3,"Aedes aegypti AAEL005324-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650672",1,"X10","SINGLETON"
"96","CONTIG23771",3,"Culex quinquefasciatus polypeptide N-acetylgalactosaminyltransferase 5, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001847066",1,"X01","CONTIG"
"97","CONTIG11154",2,"Culex quinquefasciatus 39S ribosomal protein 54, mitochondrial, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001861520",0,"X10","CONTIG"
"98","CONTIG12180",3,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001865998",1,"X01","CONTIG"
"99","CONTIG12179",3,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001865998",2,"011","CONTIG"
"100","CONTIG02861",2,"Drosophila pseudoobscura pseudoobscura GA24725 (Dpse\GA24725), partial mRNA","Dpse\GA24725","XM_001360539",0,"001","CONTIG"
"101","CONTIG11045",2,"Aedes aegypti AAEL013139-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656339",0,"X01","CONTIG"
"102","CONTIG11758",3,"Aedes aegypti AAEL005174-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650434",2,"X10","CONTIG"
"103","CONTIG13738",2,"Aedes aegypti AAEL011016-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001661257",0,"101","CONTIG"
"104","CONTIG03973",2,"Aedes aegypti AAEL011015-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001661258",0,"101","CONTIG"
"105","CONTIG04391",2,"Anopheles gambiae str. PEST AGAP003408-PA (AgaP_AGAP003408) mRNA, complete cds","AgaP_AGAP003408","XM_311694",0,"X01","CONTIG"
"106","CONTIG01167",2,"Aedes aegypti AAEL002436-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655216",0,"X01","CONTIG"
"107","CONTIG17174",2,"Aedes aegypti AAEL010783-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001654843",0,"001","CONTIG"
"108","CONTIG12186",3,"PREDICTED: Hydra vulgaris uncharacterized LOC101237520 (LOC101237520), partial mRNA","LOC101237520","XM_012708839",2,"X10","CONTIG"
"109","CONTIG14438",2,"Aedes aegypti AAEL004264-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648735",0,"001","CONTIG"
"110","CONTIG14439",3,"Aedes aegypti AAEL004264-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648735",2,"X01","CONTIG"
"111","CONTIG12739",2,"Aedes aegypti AAEL006768-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657998",0,"X01","CONTIG"
"112","CONTIG12235",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001844623",0,"101","CONTIG"
"113","CONTIG01346",2,"Culex quinquefasciatus cytochrome P450, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001862142",0,"X01","CONTIG"
"114","CONTIG12498",2,"Aedes aegypti AAEL000338-RA (CYP325E3), partial mRNA","CYP325E3","XM_001655521",0,"X01","CONTIG"
"115","F5BTJ3O02GZM2B",2,"PREDICTED: Bactrocera dorsalis uncharacterized LOC105223037 (LOC105223037), mRNA","LOC105223037","XM_011200635",0,"X10","SINGLETON"
"116","CONTIG14321",3,"PREDICTED: Bactrocera dorsalis uncharacterized LOC105223037 (LOC105223037), mRNA","LOC105223037","XM_011200635",1,"010","CONTIG"
"117","CONTIG23839",3,"Aedes aegypti AAEL003044-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001662950",1,"X01","CONTIG"
"118","F5BTJ3O02HUVOI",3,"Aedes aegypti AAEL002829-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655965",5,"011","SINGLETON"
"119","CONTIG10549",2,"Aedes aegypti AAEL010659-RB mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001660959",0,"X01","CONTIG"
"120","CONTIG02474",2,"Aedes aegypti AAEL011302-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655194",0,"101","CONTIG"
"121","CONTIG15890",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001863612",0,"101","CONTIG"
"122","CONTIG14337",2,"Culex quinquefasciatus tyrosine phosphatase mitochondrial 1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001845278",0,"010","CONTIG"
"123","CONTIG21733",2,"PREDICTED: Acyrthosiphon pisum uncharacterized LOC103308015 (LOC103308015), mRNA","LOC103308015","XM_008180615",0,"101","CONTIG"
"124","CONTIG24218",2,"PREDICTED: Aplysia californica putative nuclease HARBI1 (LOC101862451), transcript variant X1, mRNA","LOC101862451","XM_005108630",0,"101","CONTIG"
"125","CONTIG12525",2,"PREDICTED: Bactrocera dorsalis uncharacterized LOC105224513 (LOC105224513), partial mRNA","LOC105224513","XM_011202623",0,"101","CONTIG"
"126","CONTIG17209",2,"PREDICTED: Pogonomyrmex barbatus protein sister of odd and bowel (LOC105422441), mRNA","LOC105422441","XM_011631799",0,"010","CONTIG"
"127","CONTIG13200",3,"Aedes aegypti AAEL010704-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001660981",1,"101","CONTIG"
"128","CONTIG14007",3,"Aedes aegypti AAEL007633-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001658474",1,"101","CONTIG"
"129","CONTIG01071",2,"PREDICTED: Stomoxys calcitrans dihydropyrimidinase (LOC106081466), transcript variant X1, mRNA","LOC106081466","XM_013243438",0,"101","CONTIG"
"130","F5BTJ3O02GQRRQ",3,"PREDICTED: Acyrthosiphon pisum signal transducer and activator of transcription 5A-like (LOC100571936), mRNA","LOC100571936","XM_003245468",3,"010","SINGLETON"
"131","CONTIG17626",2,"PREDICTED: Trichogramma pretiosum histone H3 (LOC106659257), mRNA","LOC106659257","XM_014381692",0,"101","CONTIG"
"132","CONTIG22725",3,"Aedes aegypti AAEL012047-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001655796",2,"110","CONTIG"
"133","CONTIG08422",3,"PREDICTED: Tribolium castaneum uncharacterized LOC658801 (LOC658801), mRNA","LOC658801","XM_008196391",1,"101","CONTIG"
"134","CONTIG09777",3,"PREDICTED: Tribolium castaneum uncharacterized LOC658801 (LOC658801), mRNA","LOC658801","XM_008196391",2,"010","CONTIG"
"135","CONTIG17448",2,"Aedes aegypti AAEL012558-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001662648",0,"010","CONTIG"
"136","CONTIG17449",3,"Culex quinquefasciatus serine collagenase 1, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001861638",2,"X10","CONTIG"
"137","CONTIG09867",2,"Aedes aegypti AAEL012513-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656072",0,"X01","CONTIG"
"138","CONTIG00815",2,"Aedes aegypti AAEL002287-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001661215",0,"010","CONTIG"
"139","CONTIG07888",2,"Culex quinquefasciatus HIG1 domain family member 1A, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001867616",0,"010","CONTIG"
"140","CONTIG13348",3,"Culex quinquefasciatus gryzun, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001847449",1,"010","CONTIG"
"141","CONTIG01510",3,"Aedes aegypti AAEL013303-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001663398",1,"X01","CONTIG"
"142","CONTIG12720",2,"Aedes aegypti AAEL011612-RA (CTLMA6), partial mRNA","CTLMA6","XM_011495308",0,"X01","CONTIG"
"143","CONTIG13688",2,"Aedes aegypti AAEL014179-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001648125",0,"010","CONTIG"
"144","CONTIG13687",2,"Aedes aegypti AAEL003080-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001663010",0,"010","CONTIG"
"145","CONTIG17903",2,"Aedes aegypti AAEL017500-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011494663",0,"001","CONTIG"
"146","CONTIG17905",3,"Aedes aegypti AAEL017500-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011494663",1,"X01","CONTIG"
"147","CONTIG02094",2,"Culex quinquefasciatus choline dehydrogenase, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001848799",0,"101","CONTIG"
"148","CONTIG18122",3,"Aedes aegypti AAEL000417-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001656384",1,"101","CONTIG"
"149","CONTIG14175",2,"Aedes aegypti AAEL006346-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001651875",0,"X01","CONTIG"
"150","F5BTJ3O01COIAY",3,"Aedes aegypti AAEL017518-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_011495122",1,"X10","SINGLETON"
"151","CONTIG16746",3,"Aedes aegypti AAEL007023-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001652416",1,"010","CONTIG"
"152","F5BTJ3O01DQFN9",3,"Aedes aegypti AAEL015001-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650181",6,"X01","SINGLETON"
"153","F5BTJ3O01ETWZB",3,"Aedes aegypti AAEL015001-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650181",8,"010","SINGLETON"
"154","F5BTJ3O02GK47L",3,"Aedes aegypti AAEL015001-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650181",9,"X10","SINGLETON"
"155","CONTIG11002",2,"Aedes aegypti AAEL006632-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001657864",0,"X01","CONTIG"
"156","CONTIG10164",2,"Aedes aegypti AAEL002340-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001661310",0,"X10","CONTIG"
"157","CONTIG12366",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001843939",0,"011","CONTIG"
"158","CONTIG11044",3,"PREDICTED: Crassostrea gigas zinc finger protein OZF-like (LOC105330008), mRNA","LOC105330008","XM_011431549",2,"X10","CONTIG"
"159","CONTIG04794",2,"Aedes aegypti AAEL007465-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001658331",0,"101","CONTIG"
"160","CONTIG14062",2,"Culex quinquefasciatus conserved hypothetical protein, mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001842520",0,"010","CONTIG"
"161","CONTIG19418",2,"Aedes aegypti AAEL005055-RA partial mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001650265",0,"010","CONTIG"
"162","CONTIG13655",2,"Aedes aegypti AAEL006880-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001652267",0,"101","CONTIG"
"163","CONTIG20755",2,"Aedes aegypti AAEL000010-RA mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001647879",0,"010","CONTIG"
"164","CONTIG19248",2,"Aedes aegypti AAEL000010-RB mRNA","EMPTY! (see log file 'output/1450736707.log' for details)","XM_001647878",0,"010","CONTIG"
